site_id,EC_value_fin,area_sqkm,CaO_mean,MgO_mean,S_mean,HC_mean,precip_mean,water_capability,Bulk_mean,OC_mean,soil_ero_mean,soil_permeability,soil_depth,EVI_mean,temperature
108,231,3.267998,8.5149845028,2.6076001127,0.5643299818,-2.15733086,1083.36108398,76.2501424154,1.417999959,1.4600000382,0.0413340323,-6,3.0714285714,0.3735936781,9.623148091
109,247.8125,0.281778,3.1199999956,1.4607692682,0.0199999996,0.418719365,920.583361812,81.8000030518,1.3034682007,1.5565318136,0.0349068944,-6.5,14,0.333637896,10.42035517
110,448.5,1.256103,6.4793547353,2.1654839208,0.4082257771,-2.1912327044,918.481536156,90.8441696167,1.5700000525,0.9300000072,0.0353930756,-3.2857142857,13.1111111111,0.3077672777,10.80288422
111,155.8947368421,1.01941,6.546499927,2.1892000854,0.4042329282,-1.2122960365,971.480790649,80.5938253964,1.3918932253,1.4530157397,0.0379009359,-5.75,14,0.3339120783,10.15253709
112,274.6153846154,4.505316,7.9840043978,2.8419240164,0.4622061975,-2.0015780545,882.083337402,67.4135562957,1.4116666317,1.4900000493,0.0427734343,-5.7028985507,3.5970149254,0.3551866412,9.650000152
113,308.9166666667,8.053213,2.7372625783,1.3604561895,0.0598305086,-1.4277487357,731.96030971,65.507132609,1.3988888794,1.0666667091,0.0477808468,-2.9418604651,20,0.3824944161,10.01626979
114,390.2,4.291164,1.2138497807,2.1114319611,0.2404918125,-5.0107098572,793.155554199,72.4102749295,1.4099999666,1.4500000477,0.0429575541,-6,3.9230769231,0.3648873568,8.919444274
115,184.2222222222,4.040069,8.6199998856,2.6300001144,0.5643299818,-2.1992828846,1353.88891602,57.1702621192,1.4124999642,1.3375000358,0.0486011277,-6,4.9508196721,0.3908065259,9.098611259
116,182.4722222222,23.520315,7.689872186,2.4177097624,0.5022506836,-1.9710461513,1333.25926208,57.3431545554,1.3984615069,1.2923077162,0.0489571342,-6,4.9675141243,0.3925499672,9.245949109
117,158.2,47.557223,8.6106606414,2.6279735151,0.5643299818,-2.1992477631,1184.23759298,66.7557077159,1.3997825773,1.4163043836,0.0442538091,-6,4.1456241033,0.3513287219,8.832328617
118,159.7222222222,47.34996,8.617655175,2.6294913164,0.5643299818,-2.199274067,1184.23759298,66.719859294,1.3997825773,1.4163043836,0.0442477728,-6,4.1388489209,0.351920301,8.832328617
119,170.4,13.991839,7.7159627253,2.4230856017,0.4787925589,-1.9650011766,1381.12300328,64.0061296857,1.3814285483,1.478571466,0.0467751964,-6,4.9613259669,0.3756619692,8.851388931
120,484.5454545455,0.639949,3.5458064387,1.551290366,0.1832989942,0.2160353199,814.467382826,221.848794556,1.5974854796,0.6999999881,0.0320918492,-2.5,20,0.3435956715,10.88990892
121,292,3.732618,0.8997843786,1.5274932404,0.0369038461,-1.3216642852,838.673599243,102.791202337,1.5750000477,0.8149999976,0.0300329557,-7.0847457627,13.6666666667,0.3748480231,10.79375
122,315,1.471507,1.0938775685,1.3775510107,0.0261666663,-0.4146552913,903.237379401,79.7495010376,1.5750000477,0.8149999976,0.0331123164,-6.5,9.2857142857,0.3579318846,10.52539994
123,530.4761904762,1.234813,3.8341128845,1.6125806926,0.2105154933,0.078801331,821.897407395,221.549181938,1.437130098,0.7791448649,0.0279814651,-2.5,20,0.3214162491,10.81933372
124,355.5555555556,22.011864,2.8319528731,1.3831764283,0.0239891642,-1.6688539554,790.509256999,222.157235792,0.4572727193,0.3018181839,0.0237196692,-1.4722222222,19.5737704918,0.4043553881,10.25802476
125,190,41.68685,8.2559673848,2.807692028,0.4921556657,-2.0827408003,1246.0479875,80.8117707898,1.422926801,1.3595122317,0.0356514091,-7.6134259259,8.591222031,0.3150395439,6.577651518
126,188.25,53.105117,8.123789584,2.7402611227,0.4869722901,-2.0047862001,1230.52282279,86.9943073869,1.4177358218,1.2894339933,0.0362631929,-7.6805555556,9.4312668464,0.3267044777,6.793105173
127,205.4210526316,107.508291,8.0459971241,2.6811937755,0.4931673034,-1.9891563361,1224.71627154,66.7173860546,1.4148623539,1.4269725188,0.0360707868,-7.6890024039,7.3752515091,0.3215983224,6.880853189
128,336.8333333333,15.58858,8.5169298811,2.6073090404,0.5572025148,-2.1517429112,1023.04257406,159.740890103,1.4049999714,1.0121428796,0.0433133183,-6,15.4317180617,0.3189334098,8.691296285
129,171.4444444444,30.963635,8.3068616387,2.7201898057,0.509718966,-2.1387176911,1232.51094564,79.5887398709,1.4283333063,1.3430000365,0.0357722998,-7.7193347193,8.4002320186,0.3141574923,6.581228972
130,194.0526315789,5.3112,7.3524241484,2.3398107001,0.4799620898,-1.8693109428,1278.2611084,45.0291369351,1.4099999666,1.4500000477,0.0354115129,-7.6296296296,4.7950819672,0.2776965747,6.496666564
131,221.4285714286,10.787084,7.9270925058,2.6525649058,0.5021444355,-1.9699709126,1255.40404164,42.9773919479,1.4116666317,1.5291667183,0.0353482348,-7.6130952381,4.872,0.2850089832,6.600252498
132,192.4666666667,35.927309,7.8769319842,2.6266036549,0.4883001376,-1.9423197384,1228.366953,41.9341174546,1.4126315431,1.575000054,0.0351311747,-7.6630630631,4.946875,0.3011134495,6.725804088
